customer_id,name,company,segment,ltv,orders,successful_payments,failed_payments,avg_delay_days,promises_made,promises_kept,city,preferred_device,email,phone
CUST000027,Rahul Rao,,normal,27400.0,7,5,2,0.5,1,1,Ahmedabad,Android,,
CUST000028,Meera Nair,,dormant_high_ltv,553800.0,60,57,3,0.6,0,0,Jaipur,Android,,
CUST000029,Simran Verma,,group_d_broken_promise,20300.0,2,1,1,22.4,5,1,Ahmedabad,Desktop,,
CUST000030,Ananya Patel,,normal,30600.0,9,7,2,0.8,0,0,Kolkata,Android,,
CUST000031,Neha Chawla,,normal,14200.0,3,2,1,1.4,2,2,Ahmedabad,Android,,
CUST000032,Rohan Rao,,normal,10500.0,2,2,0,3.6,1,1,Nagpur,Android,,
CUST000033,Kabir Nair,Gupta Logistics Pvt Ltd,b2b,286300.0,41,36,5,5.4,1,1,Kolkata,iOS,,
CUST000034,Aarav Malhotra,,normal,6400.0,1,1,0,7.3,1,1,Bangalore,Android,,
CUST000035,Saanvi Kapoor,,normal,19400.0,3,2,1,5.8,2,1,Ahmedabad,iOS,,
CUST000036,Diya Singh,,group_d_broken_promise,9600.0,2,1,1,32.4,8,2,Nagpur,Android,,
CUST000037,Simran Verma,,group_d_broken_promise,34000.0,6,3,3,48.5,9,2,Delhi,Desktop,,
CUST000038,Neha Singh,,normal,23100.0,5,4,1,7.4,1,1,Bangalore,iOS,,
CUST000039,Priya Kapoor,Reddy Apparel Pvt Ltd,b2b,150800.0,21,17,4,11.5,2,2,Chennai,Android,,
CUST000040,Aarav Rao,,normal,31700.0,5,4,1,7.0,1,1,Jaipur,Android,,
CUST000041,Aditya Iyer,,normal,23900.0,6,6,0,4.1,2,1,Nagpur,Android,,
CUST000042,Simran Nair,,normal,14800.0,3,3,0,1.5,0,0,Jaipur,Desktop,,
CUST000043,Aman Joshi,,normal,21600.0,5,4,1,0.9,1,1,Ahmedabad,Desktop,,
CUST000044,Diya Chawla,Kapoor Traders Pvt Ltd,b2b,262900.0,28,27,1,13.6,5,4,Lucknow,Android,,
CUST000045,Kiara Singh,,normal,32500.0,6,5,1,10.8,1,1,Ahmedabad,Desktop,,
CUST000046,Vivaan Verma,,normal,23000.0,7,6,1,0.4,1,1,Jaipur,Android,,
CUST000047,Ishaan Nair,,normal,30100.0,4,3,1,1.5,1,1,Pune,Desktop,,
CUST000048,Myra Mehta,Sharma Traders Pvt Ltd,b2b,253000.0,43,39,4,11.7,1,1,Pune,Desktop,,
CUST000049,Myra Sharma,,normal,10800.0,3,3,0,6.0,0,0,Chennai,Desktop,,
CUST000050,Vivaan Nair,,group_d_broken_promise,27600.0,9,5,4,34.6,7,2,Pune,iOS,,
CUST000051,Rohan Mehta,,group_d_broken_promise,23400.0,5,2,3,28.4,3,1,Indore,Android,,
CUST000052,Meera Nair,,dormant_high_ltv,465000.0,62,59,3,2.3,0,0,Lucknow,iOS,,
CUST000053,Rohan Sharma,,normal,26900.0,3,3,0,2.2,1,1,Chennai,iOS,,
CUST000054,Kiara Gupta,,normal,23900.0,3,2,1,3.1,1,1,Kolkata,iOS,,
CUST000055,Simran Patel,,normal,16400.0,3,3,0,4.7,1,1,Bangalore,Android,,
CUST000056,Karan Verma,,normal,32900.0,7,6,1,5.2,0,0,Lucknow,iOS,,
CUST000057,Sanya Singh,,normal,49100.0,6,4,2,0.9,0,0,Indore,Android,,
CUST000058,Rohan Iyer,,normal,8900.0,2,2,0,6.9,0,0,Kolkata,Android,,
CUST000059,Ishaan Iyer,,group_d_broken_promise,25300.0,5,2,3,16.8,4,1,Jaipur,Android,,
CUST000060,Ananya Singh,,group_d_broken_promise,14300.0,2,1,1,30.4,6,1,Bangalore,iOS,,
CUST000061,Priya Verma,,normal,7500.0,3,2,1,0.2,2,2,Mumbai,Android,,
CUST000062,Meera Bose,,normal,16800.0,4,4,0,1.1,2,2,Nagpur,Android,,
CUST000063,Aditya Chawla,,normal,18700.0,2,2,0,0.5,1,1,Delhi,iOS,,
CUST000064,Rohan Malhotra,,normal,19400.0,5,5,0,3.8,0,0,Hyderabad,Android,,
CUST000065,Diya Reddy,,normal,14000.0,1,1,0,0.5,1,1,Indore,Android,,
CUST000066,Aditya Bose,,normal,8200.0,1,1,0,1.7,0,0,Nagpur,iOS,,
CUST000067,Aman Chawla,,normal,17300.0,3,2,1,0.7,0,0,Pune,iOS,,
CUST000068,Saanvi Chawla,Sharma Distributors Pvt Ltd,b2b,267600.0,24,22,2,4.3,4,3,Jaipur,Android,,
CUST000069,Rohan Mehta,,dormant_high_ltv,431800.0,60,55,5,4.4,0,0,Delhi,iOS,,
CUST000070,Rahul Nair,,normal,18800.0,3,2,1,2.9,1,1,Mumbai,Android,,
CUST000071,Ananya Sharma,Bose Industries Pvt Ltd,b2b,670500.0,57,54,3,10.2,2,2,Lucknow,iOS,,
CUST000072,Arjun Singh,,normal,16500.0,3,3,0,2.0,2,2,Chennai,Android,,
CUST000073,Myra Gupta,,normal,19000.0,3,3,0,0.7,2,2,Bangalore,iOS,,
CUST000074,Sanya Reddy,Kapoor Retail Pvt Ltd,b2b,732300.0,61,50,11,15.8,4,3,Bangalore,Desktop,,
CUST000075,Meera Verma,,dormant_high_ltv,477700.0,49,45,4,2.0,1,1,Mumbai,Android,,
CUST000076,Rahul Bose,Singh Apparel Pvt Ltd,b2b,601300.0,51,43,8,7.5,2,2,Hyderabad,Android,,
CUST000077,Ishaan Chawla,Nair Logistics Pvt Ltd,b2b,324500.0,40,36,4,9.9,5,4,Hyderabad,iOS,,
CUST000078,Simran Gupta,,normal,21800.0,2,1,1,1.7,0,0,Delhi,Android,,
CUST000079,Ananya Chawla,,normal,17600.0,2,2,0,0.1,0,0,Kolkata,Android,,
CUST000080,Aman Gupta,,normal,13900.0,2,2,0,2.9,0,0,Hyderabad,Android,,
CUST000081,Sanya Bose,,normal,19100.0,2,2,0,2.6,1,1,Chennai,Android,,
CUST000082,Kiara Gupta,,normal,22700.0,5,4,1,0.7,0,0,Mumbai,Desktop,,
CUST000083,Karan Mehta,,normal,19900.0,4,3,1,0.3,1,1,Hyderabad,Android,,
CUST000084,Arjun Sharma,,group_d_broken_promise,16300.0,1,0,1,33.0,10,1,Jaipur,iOS,,
CUST000085,Aditya Nair,,dormant_high_ltv,254900.0,26,22,4,2.1,0,0,Jaipur,Android,,
CUST000086,Aditya Nair,,group_d_broken_promise,43800.0,6,3,3,29.3,6,1,Nagpur,iOS,,
CUST000087,Sanya Chawla,,normal,50800.0,7,6,1,0.7,1,1,Pune,Android,,
CUST000088,Kiara Chawla,,normal,23500.0,4,3,1,3.5,2,1,Ahmedabad,Android,,
CUST000089,Aditya Singh,,group_d_broken_promise,8600.0,2,1,1,17.4,3,1,Bangalore,Android,,
CUST000090,Myra Singh,,normal,19500.0,3,3,0,2.2,2,2,Indore,iOS,,
CUST000091,Aman Reddy,,group_d_broken_promise,40700.0,7,4,3,18.9,6,1,Chennai,iOS,,
CUST000092,Ananya Sharma,,normal,12900.0,5,4,1,5.6,0,0,Pune,iOS,,
CUST000093,Ananya Reddy,,normal,13000.0,2,2,0,3.4,1,1,Jaipur,iOS,,
CUST000094,Aditya Rao,,normal,16500.0,5,4,1,0.8,2,2,Pune,Android,,
CUST000095,Meera Singh,Verma Foods Pvt Ltd,b2b,610300.0,70,57,13,7.6,3,3,Bangalore,Android,,
CUST000096,Meera Verma,,normal,16800.0,2,2,0,0.5,1,1,Ahmedabad,iOS,,
CUST000097,Ananya Verma,,normal,16500.0,4,3,1,3.0,1,1,Delhi,Android,,
CUST000098,Kiara Rao,,group_d_broken_promise,52500.0,18,10,8,17.9,11,1,Indore,Android,,
CUST000099,Ishaan Gupta,,group_d_broken_promise,33600.0,4,2,2,22.8,3,1,Mumbai,Android,,
CUST000100,Diya Kapoor,,normal,24000.0,4,3,1,4.4,2,2,Bangalore,iOS,,
CUST000101,Aditya Chawla,,normal,32300.0,5,4,1,4.6,2,2,Bangalore,Android,,
CUST000102,Rohan Reddy,,normal,27400.0,4,3,1,5.4,0,0,Jaipur,iOS,,
CUST000103,Simran Singh,Bose Distributors Pvt Ltd,b2b,167200.0,26,25,1,6.8,4,4,Jaipur,Android,,
CUST000104,Ishaan Verma,,normal,25800.0,3,2,1,2.5,0,0,Indore,Android,,
CUST000105,Simran Verma,,normal,12200.0,1,1,0,4.4,2,2,Indore,Android,,
CUST000106,Simran Patel,,normal,34800.0,7,5,2,1.8,0,0,Kolkata,Android,,
CUST000107,Ananya Kapoor,,normal,12700.0,4,3,1,3.0,2,2,Kolkata,iOS,,
CUST000108,Saanvi Joshi,Gupta Industries Pvt Ltd,b2b,248200.0,36,31,5,4.6,2,2,Hyderabad,Android,,
CUST000109,Diya Verma,,group_d_broken_promise,32800.0,5,3,2,31.6,11,3,Delhi,iOS,,
CUST000110,Aditya Bose,,normal,22400.0,3,3,0,4.8,0,0,Pune,iOS,,
CUST000111,Arjun Verma,,normal,25000.0,5,4,1,4.7,0,0,Lucknow,Android,,
CUST000112,Ananya Verma,Chawla Logistics Pvt Ltd,b2b,477800.0,65,52,13,7.8,2,1,Pune,Android,,
CUST000113,Kiara Patel,Joshi Apparel Pvt Ltd,b2b,294800.0,43,37,6,6.0,4,3,Lucknow,Desktop,,
CUST000114,Simran Chawla,,normal,35300.0,5,4,1,9.3,2,2,Jaipur,iOS,,
CUST000115,Ananya Sharma,,group_d_broken_promise,16200.0,3,2,1,23.8,3,1,Delhi,Android,,
CUST000116,Myra Kapoor,,normal,46000.0,7,6,1,0.5,1,1,Jaipur,iOS,,
CUST000117,Rahul Patel,,normal,16200.0,1,1,0,0.8,2,2,Delhi,Android,,
CUST000118,Kabir Iyer,,normal,21500.0,3,2,1,3.1,2,2,Lucknow,Android,,
CUST000119,Rahul Nair,,normal,33700.0,8,6,2,0.7,0,0,Nagpur,Android,,
CUST000120,Kabir Gupta,,normal,48100.0,1,1,0,1.2,0,0,Delhi,iOS,,
CUST000121,Karan Mehta,,normal,17100.0,2,2,0,4.1,0,0,Lucknow,Desktop,,
CUST000122,Simran Patel,,normal,12500.0,2,2,0,1.6,0,0,Bangalore,iOS,,
CUST000123,Myra Singh,,group_d_broken_promise,17500.0,4,2,2,21.4,11,2,Delhi,iOS,,
CUST000124,Priya Sharma,,normal,9500.0,3,2,1,2.4,1,1,Pune,Desktop,,
CUST000125,Rohan Reddy,,dormant_high_ltv,383000.0,47,44,3,0.4,1,1,Jaipur,iOS,,
CUST000126,Diya Joshi,,normal,7700.0,3,3,0,7.1,1,1,Chennai,Android,,
CUST000127,Priya Joshi,Bose Foods Pvt Ltd,b2b,237600.0,34,28,6,3.8,4,4,Kolkata,Desktop,,
CUST000128,Karan Rao,,group_d_broken_promise,21200.0,5,2,3,17.2,7,2,Mumbai,Android,,
CUST000129,Neha Malhotra,,group_d_broken_promise,12900.0,3,2,1,21.7,4,1,Jaipur,iOS,,
CUST000130,Neha Chawla,,normal,13600.0,3,3,0,1.7,2,2,Kolkata,iOS,,
CUST000131,Ishaan Kapoor,,group_d_broken_promise,16800.0,3,1,2,22.9,11,1,Delhi,Android,,
CUST000132,Karan Bose,,normal,30300.0,4,3,1,2.2,1,1,Jaipur,Android,,
CUST000133,Priya Bose,,normal,31200.0,2,2,0,4.9,0,0,Hyderabad,Android,,
CUST000134,Vivaan Reddy,Kapoor Enterprises Pvt Ltd,b2b,411100.0,55,49,6,6.9,2,2,Hyderabad,Android,,
CUST000135,Neha Sharma,,normal,23500.0,8,6,2,7.4,0,0,Mumbai,Android,,
CUST000136,Aarav Sharma,,dormant_high_ltv,341600.0,48,42,6,1.4,0,0,Pune,Desktop,,
CUST000137,Simran Verma,,normal,16700.0,3,2,1,2.2,2,1,Indore,Desktop,,
CUST000138,Karan Chawla,,normal,24100.0,5,4,1,6.7,2,2,Chennai,Android,,
CUST000139,Sanya Iyer,,normal,20100.0,2,2,0,3.7,1,1,Chennai,iOS,,
CUST000140,Rahul Bose,,group_d_broken_promise,27600.0,7,3,4,19.4,9,1,Ahmedabad,iOS,,
CUST000141,Vivaan Chawla,,normal,17100.0,2,2,0,0.3,0,0,Nagpur,Android,,
CUST000142,Rohan Malhotra,,normal,23000.0,2,2,0,1.0,0,0,Pune,iOS,,
CUST000143,Simran Singh,,normal,16300.0,2,2,0,4.7,2,2,Ahmedabad,Android,,
CUST000144,Rohan Joshi,,normal,22900.0,3,2,1,3.9,2,2,Nagpur,Android,,
CUST000145,Diya Joshi,,normal,24800.0,3,3,0,2.5,2,2,Hyderabad,Android,,
CUST000146,Ishaan Sharma,Iyer Industries Pvt Ltd,b2b,414800.0,55,44,11,15.9,4,3,Hyderabad,Android,,
CUST000147,Kiara Iyer,Iyer Distributors Pvt Ltd,b2b,429500.0,60,53,7,2.6,3,2,Delhi,iOS,,
CUST000148,Priya Chawla,,normal,27800.0,4,3,1,0.1,2,2,Hyderabad,Android,,
CUST000149,Rohan Verma,,normal,8400.0,2,2,0,1.2,0,0,Hyderabad,Android,,
CUST000150,Arjun Bose,,dormant_high_ltv,422600.0,53,50,3,2.3,1,1,Hyderabad,iOS,,
CUST000151,Saanvi Sharma,,normal,35000.0,13,10,3,2.0,1,1,Ahmedabad,Android,,
CUST000152,Aman Verma,,normal,18800.0,1,1,0,13.9,2,2,Hyderabad,iOS,,
CUST000153,Myra Chawla,,group_d_broken_promise,20500.0,3,1,2,35.2,4,1,Hyderabad,Android,,
CUST000154,Aditya Patel,,normal,46300.0,6,5,1,3.9,1,1,Pune,Desktop,,
CUST000155,Myra Gupta,,group_d_broken_promise,28800.0,7,3,4,24.5,7,2,Pune,Android,,
CUST000156,Vivaan Mehta,,normal,30400.0,8,7,1,2.6,1,1,Delhi,Android,,
CUST000157,Aarav Mehta,Malhotra Apparel Pvt Ltd,b2b,447400.0,48,43,5,3.3,1,1,Lucknow,Desktop,,
CUST000158,Myra Sharma,,normal,12700.0,1,1,0,10.7,2,1,Lucknow,Desktop,,
CUST000159,Ishaan Malhotra,,normal,26000.0,3,3,0,0.1,2,2,Nagpur,iOS,,
CUST000160,Neha Bose,,normal,33700.0,4,4,0,1.2,2,2,Kolkata,Android,,
CUST000161,Simran Nair,,group_d_broken_promise,43800.0,7,3,4,23.3,8,1,Lucknow,Android,,
CUST000162,Aarav Verma,,normal,17500.0,3,2,1,1.5,0,0,Ahmedabad,Android,,
CUST000163,Aman Chawla,Chawla Apparel Pvt Ltd,b2b,403700.0,62,59,3,4.4,4,4,Mumbai,Desktop,,
CUST000164,Diya Patel,,dormant_high_ltv,426700.0,63,57,6,2.4,0,0,Lucknow,iOS,,
CUST000165,Vivaan Iyer,,normal,12200.0,2,2,0,0.3,0,0,Delhi,Android,,
CUST000166,Ishaan Malhotra,,normal,11200.0,1,1,0,6.0,1,1,Kolkata,Android,,
CUST000167,Sanya Mehta,,normal,9300.0,1,1,0,3.9,2,2,Ahmedabad,Android,,
CUST000168,Aditya Joshi,,normal,6500.0,1,1,0,2.8,1,1,Chennai,Android,,
CUST000169,Neha Reddy,Kapoor Traders Pvt Ltd,b2b,346000.0,40,38,2,4.0,3,3,Pune,Android,,
CUST000170,Arjun Kapoor,,normal,19000.0,3,3,0,0.2,1,1,Jaipur,iOS,,
CUST000171,Priya Verma,Nair Solutions Pvt Ltd,b2b,368500.0,45,41,4,7.5,3,2,Indore,Android,,
CUST000172,Meera Verma,,normal,11500.0,2,2,0,1.0,1,1,Kolkata,Android,,
CUST000173,Meera Sharma,Kapoor Apparel Pvt Ltd,b2b,480300.0,67,65,2,2.9,2,2,Hyderabad,iOS,,
CUST000174,Kabir Sharma,,normal,14200.0,3,3,0,4.6,1,1,Mumbai,iOS,,
CUST000175,Saanvi Gupta,,group_d_broken_promise,28700.0,4,2,2,26.9,5,1,Lucknow,iOS,,
CUST000176,Sanya Mehta,,dormant_high_ltv,471800.0,57,55,2,4.1,0,0,Chennai,Desktop,,
CUST000177,Neha Verma,,normal,46900.0,11,8,3,1.1,2,1,Kolkata,Android,,
CUST000178,Kiara Mehta,,normal,24800.0,5,4,1,0.6,0,0,Mumbai,Android,,
CUST000179,Ishaan Malhotra,,normal,12500.0,4,3,1,2.2,2,2,Chennai,iOS,,
CUST000180,Arjun Reddy,,normal,58200.0,6,5,1,4.6,1,1,Pune,iOS,,
CUST000181,Aman Chawla,,normal,22800.0,4,4,0,0.4,2,1,Mumbai,iOS,,
CUST000182,Aditya Reddy,,normal,4300.0,2,2,0,2.9,2,2,Jaipur,iOS,,
CUST000183,Ananya Bose,,normal,55500.0,3,2,1,0.6,0,0,Pune,Android,,
CUST000184,Priya Rao,Rao Tech Pvt Ltd,b2b,398300.0,46,39,7,6.5,1,1,Hyderabad,Android,,
CUST000185,Saanvi Patel,,normal,41100.0,6,6,0,1.8,2,1,Pune,Android,,
CUST000186,Saanvi Reddy,,normal,23200.0,2,1,1,2.7,1,1,Ahmedabad,iOS,,
CUST000187,Aarav Gupta,,normal,18900.0,4,4,0,1.6,1,1,Ahmedabad,Desktop,,
CUST000188,Ishaan Iyer,,group_d_broken_promise,33000.0,4,2,2,14.6,5,1,Kolkata,Android,,
CUST000189,Simran Sharma,,normal,30100.0,2,2,0,5.2,2,2,Delhi,Android,,
CUST000190,Vivaan Joshi,Reddy Logistics Pvt Ltd,b2b,305800.0,30,26,4,7.8,2,2,Ahmedabad,iOS,,
CUST000191,Myra Rao,,normal,22200.0,3,2,1,1.5,0,0,Kolkata,Android,,
CUST000192,Ishaan Singh,Iyer Industries Pvt Ltd,b2b,277800.0,34,32,2,13.9,3,2,Mumbai,Android,,
CUST000193,Ishaan Gupta,,group_d_broken_promise,11200.0,1,1,0,37.6,3,0,Jaipur,Desktop,,
CUST000194,Ananya Joshi,,normal,15700.0,1,1,0,0.4,2,2,Ahmedabad,Android,,
CUST000195,Rohan Verma,,group_d_broken_promise,43300.0,2,1,1,20.5,3,0,Delhi,Desktop,,
CUST000196,Vivaan Mehta,,group_d_broken_promise,11000.0,2,1,1,29.4,4,1,Jaipur,Android,,
CUST000197,Neha Chawla,,normal,15200.0,3,2,1,1.7,0,0,Chennai,Android,,
CUST000198,Aditya Sharma,,normal,32600.0,5,4,1,4.0,0,0,Lucknow,iOS,,
CUST000199,Diya Singh,,group_d_broken_promise,19800.0,1,1,0,28.5,9,2,Nagpur,Android,,
CUST000200,Aditya Chawla,Verma Industries Pvt Ltd,b2b,367400.0,54,46,8,11.8,4,3,Chennai,Android,,
CUST000201,Neha Joshi,,normal,12500.0,1,1,0,1.2,2,2,Pune,iOS,,
CUST000202,Sanya Sharma,,normal,32300.0,4,3,1,0.3,1,1,Indore,iOS,,
CUST000203,Kiara Reddy,,normal,20400.0,2,1,1,1.2,0,0,Mumbai,iOS,,
CUST000204,Simran Gupta,,group_d_broken_promise,14600.0,4,2,2,24.3,4,1,Delhi,Android,,
CUST000205,Saanvi Joshi,,dormant_high_ltv,492200.0,62,61,1,1.7,2,2,Jaipur,Android,,
CUST000206,Aman Reddy,Nair Tech Pvt Ltd,b2b,571700.0,66,57,9,11.7,5,4,Chennai,iOS,,
CUST000207,Myra Chawla,,group_d_broken_promise,9600.0,1,0,1,38.2,6,2,Delhi,Android,,
CUST000208,Simran Rao,,normal,8500.0,2,2,0,1.0,0,0,Chennai,Android,,
CUST000209,Priya Iyer,,group_d_broken_promise,27900.0,6,2,4,13.8,10,3,Delhi,iOS,,
CUST000210,Rahul Sharma,,normal,33700.0,7,6,1,0.2,0,0,Pune,Android,,
CUST000211,Ananya Verma,,normal,12600.0,4,3,1,3.7,2,1,Indore,Android,,
CUST000212,Neha Chawla,,normal,13500.0,1,1,0,2.1,1,1,Kolkata,Desktop,,
CUST000213,Kiara Verma,,group_d_broken_promise,34400.0,3,1,2,57.6,8,2,Mumbai,Android,,
CUST000214,Priya Iyer,,normal,18000.0,7,5,2,3.5,0,0,Bangalore,Android,,
CUST000215,Karan Singh,,normal,19400.0,7,6,1,1.0,1,1,Pune,Desktop,,
CUST000216,Myra Malhotra,,normal,23300.0,3,2,1,10.2,0,0,Nagpur,iOS,,
CUST000217,Karan Mehta,,group_d_broken_promise,53200.0,6,3,3,22.6,11,3,Ahmedabad,iOS,,
CUST000218,Saanvi Iyer,,group_d_broken_promise,30000.0,6,2,4,25.4,7,2,Indore,Desktop,,
CUST000219,Priya Bose,,normal,32800.0,4,3,1,0.5,1,1,Chennai,Android,,
CUST000220,Ananya Singh,,normal,32200.0,5,5,0,1.7,0,0,Ahmedabad,Android,,
CUST000221,Rohan Nair,Iyer Foods Pvt Ltd,b2b,450000.0,60,49,11,4.7,2,2,Chennai,Android,,
CUST000222,Myra Rao,,normal,14900.0,2,2,0,4.7,0,0,Jaipur,Android,,
CUST000223,Meera Sharma,,normal,15200.0,3,3,0,1.1,1,1,Bangalore,iOS,,
CUST000224,Priya Patel,,normal,31000.0,6,5,1,1.9,1,1,Bangalore,Desktop,,
CUST000225,Saanvi Iyer,Patel Traders Pvt Ltd,b2b,583500.0,58,53,5,3.5,1,1,Delhi,Desktop,,
CUST000226,Karan Rao,,normal,11500.0,2,2,0,10.8,2,2,Kolkata,iOS,,
CUST000227,Ishaan Verma,,dormant_high_ltv,257500.0,38,32,6,6.3,1,1,Jaipur,Android,,
CUST000228,Aarav Mehta,,normal,20400.0,4,3,1,1.1,2,2,Indore,Android,,
CUST000229,Myra Bose,,normal,39500.0,9,7,2,2.8,1,1,Hyderabad,Android,,
CUST000230,Priya Malhotra,,group_d_broken_promise,16800.0,4,2,2,36.3,7,2,Nagpur,Android,,
CUST000231,Ishaan Malhotra,,group_d_broken_promise,20300.0,4,2,2,44.2,7,2,Lucknow,iOS,,
CUST000232,Vivaan Iyer,,normal,16100.0,5,4,1,0.8,2,1,Indore,Android,,
CUST000233,Rohan Kapoor,,normal,9300.0,2,2,0,2.0,0,0,Pune,iOS,,
CUST000234,Meera Patel,,normal,12600.0,1,1,0,2.1,0,0,Bangalore,Android,,
CUST000235,Diya Singh,,normal,13000.0,1,1,0,1.3,2,1,Pune,Desktop,,
CUST000236,Aditya Kapoor,,normal,12100.0,2,2,0,4.5,1,1,Jaipur,Android,,
CUST000237,Rahul Iyer,,normal,17500.0,2,2,0,1.2,2,2,Pune,iOS,,
CUST000238,Rahul Malhotra,,normal,54900.0,8,8,0,1.4,1,1,Nagpur,Android,,
CUST000239,Rohan Gupta,,dormant_high_ltv,384400.0,59,57,2,0.5,2,2,Bangalore,Android,,
CUST000240,Aman Kapoor,,group_d_broken_promise,10200.0,3,2,1,17.5,6,1,Mumbai,iOS,,
CUST000241,Kiara Iyer,,normal,25700.0,4,3,1,5.4,1,1,Nagpur,Android,,
CUST000242,Aditya Sharma,,normal,18400.0,2,2,0,7.2,1,1,Lucknow,Android,,
CUST000243,Kabir Bose,Nair Textiles Pvt Ltd,b2b,322600.0,44,36,8,8.8,1,1,Ahmedabad,Android,,
CUST000244,Ananya Bose,,normal,19200.0,4,3,1,7.4,0,0,Delhi,iOS,,
CUST000245,Priya Reddy,,normal,13900.0,5,5,0,4.5,2,2,Nagpur,Android,,
CUST000246,Rahul Chawla,,normal,19200.0,6,4,2,2.2,2,2,Lucknow,Desktop,,
CUST000247,Ananya Nair,,normal,38600.0,6,4,2,1.7,0,0,Pune,Desktop,,
CUST000248,Kiara Iyer,,normal,20700.0,2,1,1,2.5,1,1,Pune,iOS,,
CUST000249,Karan Nair,,normal,32100.0,5,4,1,4.4,1,1,Ahmedabad,Android,,
CUST000250,Kiara Verma,,normal,29900.0,8,7,1,7.5,1,1,Ahmedabad,Desktop,,
CUST000251,Kabir Bose,,normal,53600.0,3,2,1,3.1,2,2,Bangalore,Android,,
CUST000252,Rahul Bose,,normal,29600.0,6,5,1,6.9,0,0,Bangalore,Desktop,,
CUST000253,Meera Verma,,normal,51600.0,6,5,1,8.2,1,1,Indore,Android,,
CUST000254,Ananya Verma,Chawla Foods Pvt Ltd,b2b,387700.0,43,36,7,2.8,3,3,Nagpur,iOS,,
CUST000255,Karan Rao,Sharma Exports Pvt Ltd,b2b,408500.0,55,53,2,4.5,4,3,Pune,Android,,
CUST000256,Vivaan Iyer,,normal,33300.0,5,5,0,6.8,1,1,Delhi,iOS,,
CUST000257,Karan Joshi,,normal,23300.0,5,4,1,4.1,2,2,Nagpur,Android,,
CUST000258,Diya Sharma,,group_d_broken_promise,21400.0,5,2,3,18.0,11,3,Ahmedabad,Desktop,,
CUST000259,Arjun Patel,,dormant_high_ltv,407200.0,56,50,6,2.2,2,2,Mumbai,Android,,
CUST000260,Rohan Rao,,normal,13300.0,2,1,1,0.7,0,0,Lucknow,Android,,
CUST000261,Aman Chawla,,group_d_broken_promise,25800.0,4,2,2,40.0,8,3,Hyderabad,Android,,
CUST000262,Priya Reddy,,normal,32000.0,4,3,1,1.7,2,1,Hyderabad,Android,,
CUST000263,Simran Kapoor,Patel Tech Pvt Ltd,b2b,488600.0,61,50,11,5.0,2,2,Jaipur,Android,,
CUST000264,Arjun Malhotra,,group_d_broken_promise,33700.0,5,3,2,40.1,5,1,Hyderabad,iOS,,
